source_index,Molecule,Isomer,Metal,split
16,C10H10O6,12PhenylenedioxodiethanoicacidC6H4OCH2COOH2,Nd+++,train
30,C10H12N2O4,2PyridylmethyliminodiethanoicacidC5H4NCH2NCH2COOH2,Nd+++,train
39,C10H12N4O5,Hypoxanthine9betaDribofuranoside,Nd+++,train
45,C10H14N5O7P,Adenosine5monophosphoricacid5Adenylicacid,Nd+++,train
53,C10H14N5O7P,Adenosine5monophosphoricacid5Adenylicacid,Nd+++,test
70,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,test
71,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,calibration_global
72,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,train
110,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,calibration_local
111,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,train
112,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,calibration_global
113,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,calibration_global
138,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,train
139,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,train
153,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,calibration_local
165,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,train
166,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,test
188,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,train
189,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,calibration_global
190,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,calibration_local
210,C10H16N5O13P3,Adenosine5triphosphoricacid,Nd+++,calibration_local
211,C10H16N5O13P3,Adenosine5triphosphoricacid,Nd+++,calibration_global
221,C10H16N5O13P3,Adenosine5triphosphoricacid,Nd+++,train
229,C10H16N5O13P3,Adenosine5triphosphoricacid,Nd+++,test
234,C10H17N2O10P,Bisbiscarboxymethylaminomethylphosphinicacid,Nd+++,train
242,C10H17N3O6S,Glutamylcysteinylglycine,Nd+++,train
253,C10H18N2O7,NHydroxyethyldiaminoethaneNNNtriethanoicacid,Nd+++,train
259,C10H18N2O7,NHydroxyethyldiaminoethaneNNNtriethanoicacid,Nd+++,calibration_global
275,C10H18N2O7,NHydroxyethyldiaminoethaneNNNtriethanoicacid,Nd+++,calibration_local
276,C10H18N2O7,NHydroxyethyldiaminoethaneNNNtriethanoicacid,Nd+++,test
286,C10H18O2,Decane24dioneCH3COCH2COCH25CH3,Nd+++,train
291,C10H19N3O4_2,LeucylglycylglycineH2NCHCH2CHCH32CONHCH2CONHCH2COOH,Nd+++,train
296,C10H19N3O4_2,LeucylglycylglycineH2NCHCH2CHCH32CONHCH2CONHCH2COOH,Nd+++,test
319,C10H26N4O6P2,14710Tetraazacyclododecane17bismethanephosphonicacid,Nd+++,train
329,C10H6O8,Benzene1245tetracarboxylicacidC6H2COOH4,Nd+++,train
342,C10H7NO2_1,1Nitroso2naphtholalphaNitrosobetanaphthol,Nd+++,train
361,C10H7NO2_3,Quinoline2carboxylicacid,Nd+++,train
369,C10H7NO2_4,Quinoline8carboxylicacid,Nd+++,train
381,C10H7NO5S_1,1Nitroso2hydroxynaphalene7sulfonicacid,Nd+++,train
394,C10H7NO5S_2,1Nitroso2hydroxynaphthalene6sulfonicacid,Nd+++,train
