source_index,Molecule,Isomer,Metal,Medium,Molecular Charge,BalabanJ(m),BertzCT(m),Chi0(m),Chi0n(m),Chi0v(m),Chi1(m),Chi1n(m),Chi1v(m),Chi2n(m),Chi2v(m),Chi3n(m),Chi3v(m),Chi4n(m),Chi4v(m),EState_VSA1(m),EState_VSA10(m),EState_VSA8(m),EState_VSA9(m),ExactMolWt(m),FpDensityMorgan1(m),FpDensityMorgan2(m),FpDensityMorgan3(m),FractionCSP3(m),HallKierAlpha(m),HeavyAtomCount(m),HeavyAtomMolWt(m),Kappa1(m),Kappa2(m),Kappa3(m),LabuteASA(m),MaxAbsEStateIndex(m),MaxAbsPartialCharge(m),MaxEStateIndex(m),MaxPartialCharge(m),MinAbsEStateIndex(m),MinAbsPartialCharge(m),MinEStateIndex(m),MinPartialCharge(m),MolLogP(m),MolMR(m),MolWt(m),NHOHCount(m),NOCount(m),NumHAcceptors(m),NumHDonors(m),NumHeteroatoms(m),NumRotatableBonds(m),NumValenceElectrons(m),PEOE_VSA1(m),PEOE_VSA10(m),PEOE_VSA11(m),PEOE_VSA12(m),PEOE_VSA14(m),PEOE_VSA2(m),PEOE_VSA6(m),PEOE_VSA7(m),PEOE_VSA8(m),PEOE_VSA9(m),RingCount(m),SMR_VSA1(m),SMR_VSA10(m),SMR_VSA2(m),SMR_VSA3(m),SMR_VSA5(m),SMR_VSA6(m),SMR_VSA7(m),SlogP_VSA1(m),SlogP_VSA2(m),SlogP_VSA3(m),SlogP_VSA5(m),SlogP_VSA6(m),SlogP_VSA8(m),TPSA(m),VSA_EState1(m),VSA_EState2(m),VSA_EState3(m),VSA_EState4(m),VSA_EState5(m),VSA_EState6(m),VSA_EState7(m),VSA_EState8(m),qed(m),Atomic Number_metal,Outer shell electrons_metal,Melting Point_metal  (K),Boiling Point_metal  (K),Density_metal  (g/cm3),First IE_metal  (kJ/mol),Second IE_metal  (kJ/mol),Third IE_metal  (kJ/mol),Electron Affinity_metal  (kJ/mol),Atomic Radius_metal,Covalent Radius_metal,Pauling EN_metal,Ionic Radius_metal,Standard Entropy_metal (J/mol.K),Density_medium (kg/m3),Molar Mass_medium (g/mol),Melting Point_medium (K),Temperature (K),Concentration (M),Log K1
16,C10H10O6,12PhenylenedioxodiethanoicacidC6H4OCH2COOH2,Nd+++,NaClO4,0,3.58535474306285,674.746970711227,20.4472292782632,17.4494897427832,7.44948974278318,11.7957653897425,8.44948974278318,3.63299316185545,2.14141153805826,2.14141153805826,1.09364369641316,1.09364369641316,0.618686217847897,0.618686217847897,60.7252795589573,9.58907436814364,19.6913422898145,13.828467763827,226.04773804,1.0,1.4375,1.8125,0.2,-2.24,16,216.104,3.96850480109739,5.59473338203068,3.86871018044108,105.252819258509,11.2215464179563,0.478723155612299,11.2215464179563,0.341226038936179,0.948129540396405,0.341226038936179,-3.41594246031746,-0.478723155612299,0.6134,52.7036,226.184,2,6,6,2,6,6,86,19.6913422898145,0.0,24.6169941524004,0.0,11.9386105759037,0.0,12.0848374153266,12.0848374153266,0.0,10.9660684493618,1,40.2464851073199,11.9386105759037,2.86239931446527,0.0,0.0,13.1179704858326,24.1696748306532,9.4737259076001,35.2741974439507,9.58907436814364,10.9660684493618,24.1696748306532,2.86239931446527,93.06,81.5513775544908,22.4430928359126,6.82591179024666,0.0,-6.11575008398421,-4.03941384269757,0.0,-6.83188492063492,0.737841121329228,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,298,0.1,4.45
30,C10H12N2O4,2PyridylmethyliminodiethanoicacidC5H4NCH2NCH2COOH2,Nd+++,KNO3  ,0,3.8911345867114,773.100363295112,22.2401224970766,19.5274203528554,7.52742035285537,12.5766924802685,9.50102715060535,3.68453056967762,2.19294894588043,2.19294894588043,1.09089457908499,1.09089457908499,0.655484382460024,0.655484382460024,66.3231786883551,9.58907436814364,15.2015949031616,16.5699848761675,224.079706864,1.3125,2.0,2.625,0.3,-1.95,16,212.12,3.52599662541768,5.81607760836703,4.51603387021278,109.180093565378,11.6534273956496,0.480285537743257,11.6534273956496,0.317229192225287,0.732520786092215,0.317229192225287,-3.88782041288738,-0.480285537743257,0.0528,54.7856,224.216,2,6,6,2,6,6,86,10.2176163822144,0.0,0.0,0.0,11.9386105759037,19.4729626199413,6.0424187076633,12.0848374153266,15.4112720074711,29.6537158128421,1,33.5142763120603,11.9386105759037,2.86239931446527,9.88388825179769,6.49685968431595,12.9937193686319,29.9940793286531,0.0,45.0338345785477,16.0859340524596,19.4015135565507,24.3001513338046,2.86239931446527,90.73,89.8971237244898,25.8210309061896,6.84616696061141,-1.276100718065,-4.3354318888049,-3.03664682539683,-1.02121892584194,-11.4782565665155,0.709252287383635,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,298,0.1,8.64
39,C10H12N4O5,Hypoxanthine9betaDribofuranoside,Nd+++,KNO3  ,0,2.43212509880209,1027.30664369346,23.6209558646301,20.8300958343191,8.83009583431915,14.230641117267,10.3701992129969,4.7372060511414,3.34483569849459,3.34483569849459,2.29665870174902,2.29665870174902,1.46597905162469,1.46597905162469,60.6536018364546,0.0,35.3871683272705,21.4277300320923,268.080769484,1.42105263157895,2.36842105263158,3.15789473684211,0.5,-1.81,19,256.133,4.6316829655677,4.3842388535215,1.74761285887602,123.506830192949,8.63494708994709,0.491603849001116,8.63494708994709,0.294914763262616,0.22692365835223,0.294914763262616,-3.70569314531368,-0.491603849001116,-1.8566,59.9972,268.229,4,9,9,4,9,6,102,25.1720957182289,27.2849429071566,17.3678307483205,10.1735873081333,0.0,4.56709964779136,0.0,0.0,0.0,21.0869082939038,3,36.1381641675907,11.163877938384,5.72479862893054,19.519035210633,24.4440068907865,6.55898524291629,12.6067434279325,0.0,70.4781059277586,4.73686295380005,17.1700212592983,12.6067434279325,11.163877938384,133.75,98.0928129419365,10.663021968812,16.1698909884074,-1.17776011484841,-0.650874288758713,0.0,-16.3679475833543,-3.64581057886117,0.498126779348831,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,308,0.1,4.29
45,C10H14N5O7P,Adenosine5monophosphoricacid5Adenylicacid,Nd+++,NaClO4,0,2.38603816714054,1251.2956381786,28.4054129150063,24.5410196062468,11.4354467972467,16.8710868702955,12.014405799855,6.94757893368011,3.90179062025357,4.97879199708854,2.46768921729475,2.78258310796226,1.57181936966772,1.76653411462647,68.4141734009864,4.56504828493133,39.4846839048058,24.2514141887487,347.063084418,1.47826086956522,2.34782608695652,3.08695652173913,0.5,-1.66,23,333.112,6.3320988361268,5.7609491535486,3.05276310357402,148.435931058756,12.098577785359,0.469170685061239,12.098577785359,0.469170685061239,0.090117157974301,0.38741947596719,-5.49020078780458,-0.38741947596719,-1.863,73.6551,347.224,6,12,12,5,13,9,126,30.4655811097787,32.8016436247729,20.4926769651957,5.72479862893054,7.82269712313217,9.09084680950317,0.0,0.0,0.0,21.0869082939038,3,47.6244121867138,24.8044378393512,5.72479862893054,19.519035210633,24.4440068907865,12.2787022186426,12.6067434279325,5.71971697572627,70.0518743435822,13.8256584004432,17.1700212592983,12.6067434279325,11.163877938384,186.07,130.271281682622,17.6723801220072,8.20060090702948,-1.61526664797012,-0.724976676270192,0.0,-17.7855620330981,-4.13936767762661,0.39017854457244,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,298,0.1,4.09
72,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,NaClO4,0,7.2039661525952,818.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9849229784979,11.8048407057107,4.27742035285537,2.54425710526098,2.54425710526098,1.21303607179888,1.21303607179888,0.604403429379471,0.604403429379471,72.2722019663741,19.1781487362873,20.4352327644288,22.2560683472891,292.090665472,0.8,1.15,1.45,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,7.99933431952663,135.888800133245,12.02915794734,0.481175286820812,12.02915794734,0.320803094899433,1.34706089380197,0.320803094899433,-4.5873971324641,-0.481175286820812,-1.9786,63.3586,292.244,6,10,10,6,10,11,114,31.0548594710056,14.8594690933557,0.0,0.0,23.8772211518074,19.1781487362873,0.0,0.0,23.9597878179936,15.4873669149992,0,56.1446512190748,23.8772211518074,5.72479862893054,10.6196267065768,24.7816347393581,12.9937193686319,0.0,10.6196267065768,69.3419582215674,19.1781487362873,26.453435364361,0.0,5.72479862893054,173.26,119.038327532834,47.3870000517249,10.5307062090221,0.0,-10.0809043264536,-8.93587435437138,-8.59779418116088,-9.1747942649282,0.234105103485993,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,301,0.2,10.56
111,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,KCl   ,0,7.2039661525952,818.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9849229784979,11.8048407057107,4.27742035285537,2.54425710526098,2.54425710526098,1.21303607179888,1.21303607179888,0.604403429379471,0.604403429379471,72.2722019663741,19.1781487362873,20.4352327644288,22.2560683472891,292.090665472,0.8,1.15,1.45,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,7.99933431952663,135.888800133245,12.02915794734,0.481175286820812,12.02915794734,0.320803094899433,1.34706089380197,0.320803094899433,-4.5873971324641,-0.481175286820812,-1.9786,63.3586,292.244,6,10,10,6,10,11,114,31.0548594710056,14.8594690933557,0.0,0.0,23.8772211518074,19.1781487362873,0.0,0.0,23.9597878179936,15.4873669149992,0,56.1446512190748,23.8772211518074,5.72479862893054,10.6196267065768,24.7816347393581,12.9937193686319,0.0,10.6196267065768,69.3419582215674,19.1781487362873,26.453435364361,0.0,5.72479862893054,173.26,119.038327532834,47.3870000517249,10.5307062090221,0.0,-10.0809043264536,-8.93587435437138,-8.59779418116088,-9.1747942649282,0.234105103485993,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,1984,74.6,1043,293,0.1,16.06
138,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,KNO3  ,0,7.2039661525952,818.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9849229784979,11.8048407057107,4.27742035285537,2.54425710526098,2.54425710526098,1.21303607179888,1.21303607179888,0.604403429379471,0.604403429379471,72.2722019663741,19.1781487362873,20.4352327644288,22.2560683472891,292.090665472,0.8,1.15,1.45,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,7.99933431952663,135.888800133245,12.02915794734,0.481175286820812,12.02915794734,0.320803094899433,1.34706089380197,0.320803094899433,-4.5873971324641,-0.481175286820812,-1.9786,63.3586,292.244,6,10,10,6,10,11,114,31.0548594710056,14.8594690933557,0.0,0.0,23.8772211518074,19.1781487362873,0.0,0.0,23.9597878179936,15.4873669149992,0,56.1446512190748,23.8772211518074,5.72479862893054,10.6196267065768,24.7816347393581,12.9937193686319,0.0,10.6196267065768,69.3419582215674,19.1781487362873,26.453435364361,0.0,5.72479862893054,173.26,119.038327532834,47.3870000517249,10.5307062090221,0.0,-10.0809043264536,-8.93587435437138,-8.59779418116088,-9.1747942649282,0.234105103485993,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,293,0.1,16.77
139,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,KNO3  ,0,7.2039661525952,818.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9849229784979,11.8048407057107,4.27742035285537,2.54425710526098,2.54425710526098,1.21303607179888,1.21303607179888,0.604403429379471,0.604403429379471,72.2722019663741,19.1781487362873,20.4352327644288,22.2560683472891,292.090665472,0.8,1.15,1.45,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,7.99933431952663,135.888800133245,12.02915794734,0.481175286820812,12.02915794734,0.320803094899433,1.34706089380197,0.320803094899433,-4.5873971324641,-0.481175286820812,-1.9786,63.3586,292.244,6,10,10,6,10,11,114,31.0548594710056,14.8594690933557,0.0,0.0,23.8772211518074,19.1781487362873,0.0,0.0,23.9597878179936,15.4873669149992,0,56.1446512190748,23.8772211518074,5.72479862893054,10.6196267065768,24.7816347393581,12.9937193686319,0.0,10.6196267065768,69.3419582215674,19.1781487362873,26.453435364361,0.0,5.72479862893054,173.26,119.038327532834,47.3870000517249,10.5307062090221,0.0,-10.0809043264536,-8.93587435437138,-8.59779418116088,-9.1747942649282,0.234105103485993,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,296,0.1,15.63
165,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,KCl   ,0,7.70379586312185,754.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9075727093083,11.8576271102108,4.22463394835533,2.49147070076093,2.49147070076093,1.08596876492005,1.08596876492005,0.632853469982595,0.632853469982595,72.658198719404,19.1781487362873,20.4352327644288,22.1739013029732,292.090665472,0.7,0.95,1.15,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,9.79185151652331,136.192629841959,11.8382537706568,0.480285663977319,11.8382537706568,0.317218118975639,1.32146352985639,0.317218118975639,-4.79792233560091,-0.480285663977319,-2.0712,63.4232,292.244,4,10,10,4,10,11,114,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,0.0,18.4767535933128,36.9535071866256,0,56.0624841747588,23.8772211518074,5.72479862893054,9.79981946170096,0.0,38.9811581058957,0.0,0.0,93.0934314838329,19.1781487362873,16.4491026740426,0.0,5.72479862893054,155.68,119.671348485369,44.7100880229145,13.1947516583411,0.0,-10.1202338960275,0.0,0.0,-27.2892876039305,0.333294737123963,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,1984,74.6,1043,298,0.1,12.62
188,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,KNO3  ,0,7.70379586312185,754.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9075727093083,11.8576271102108,4.22463394835533,2.49147070076093,2.49147070076093,1.08596876492005,1.08596876492005,0.632853469982595,0.632853469982595,72.658198719404,19.1781487362873,20.4352327644288,22.1739013029732,292.090665472,0.7,0.95,1.15,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,9.79185151652331,136.192629841959,11.8382537706568,0.480285663977319,11.8382537706568,0.317218118975639,1.32146352985639,0.317218118975639,-4.79792233560091,-0.480285663977319,-2.0712,63.4232,292.244,4,10,10,4,10,11,114,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,0.0,18.4767535933128,36.9535071866256,0,56.0624841747588,23.8772211518074,5.72479862893054,9.79981946170096,0.0,38.9811581058957,0.0,0.0,93.0934314838329,19.1781487362873,16.4491026740426,0.0,5.72479862893054,155.68,119.671348485369,44.7100880229145,13.1947516583411,0.0,-10.1202338960275,0.0,0.0,-27.2892876039305,0.333294737123963,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,293,0.1,13.41
