model,display_name,feature,raw_value,absolute_value,normalized_importance
random_forest,Random forest regressor,PEOE_VSA2(m),0.5241360032358118,0.5241360032358118,0.5241360032358119
random_forest,Random forest regressor,PEOE_VSA14(m),0.1168410376513479,0.1168410376513479,0.11684103765134791
random_forest,Random forest regressor,TPSA(m),0.0496735929015741,0.0496735929015741,0.04967359290157411
random_forest,Random forest regressor,NumRotatableBonds(m),0.04525023744508807,0.04525023744508807,0.045250237445088076
random_forest,Random forest regressor,VSA_EState2(m),0.035648984569975894,0.035648984569975894,0.0356489845699759
random_forest,Random forest regressor,Temperature (K),0.02952270273552898,0.02952270273552898,0.029522702735528983
random_forest,Random forest regressor,SlogP_VSA2(m),0.025862308874218136,0.025862308874218136,0.02586230887421814
random_forest,Random forest regressor,NumValenceElectrons(m),0.02154518562383169,0.02154518562383169,0.021545185623831693
random_forest,Random forest regressor,SMR_VSA3(m),0.02043255280749222,0.02043255280749222,0.020432552807492222
random_forest,Random forest regressor,SMR_VSA1(m),0.020022934016113162,0.020022934016113162,0.020022934016113166
random_forest,Random forest regressor,Chi0(m),0.018373810108309692,0.018373810108309692,0.018373810108309695
random_forest,Random forest regressor,Concentration (M),0.018175382555791025,0.018175382555791025,0.018175382555791028
random_forest,Random forest regressor,Kappa2(m),0.017631789162460994,0.017631789162460994,0.017631789162460998
random_forest,Random forest regressor,NumHAcceptors(m),0.011585131851786157,0.011585131851786157,0.01158513185178616
random_forest,Random forest regressor,Density_medium (kg/m3),0.010821655323993403,0.010821655323993403,0.010821655323993404
random_forest,Random forest regressor,EState_VSA10(m),0.009030371688794189,0.009030371688794189,0.00903037168879419
random_forest,Random forest regressor,Molar Mass_medium (g/mol),0.008465944491612323,0.008465944491612323,0.008465944491612325
random_forest,Random forest regressor,NumHeteroatoms(m),0.007589717361590898,0.007589717361590898,0.007589717361590899
random_forest,Random forest regressor,Melting Point_medium (K),0.005977874224870773,0.005977874224870773,0.005977874224870774
random_forest,Random forest regressor,NOCount(m),0.0034127833698085037,0.0034127833698085037,0.003412783369808504
random_forest,Random forest regressor,Atomic Number_metal,0.0,0.0,0.0
random_forest,Random forest regressor,Outer shell electrons_metal,0.0,0.0,0.0
random_forest,Random forest regressor,Melting Point_metal  (K),0.0,0.0,0.0
random_forest,Random forest regressor,Boiling Point_metal  (K),0.0,0.0,0.0
random_forest,Random forest regressor,First IE_metal  (kJ/mol),0.0,0.0,0.0
random_forest,Random forest regressor,Density_metal  (g/cm3),0.0,0.0,0.0
random_forest,Random forest regressor,Covalent Radius_metal,0.0,0.0,0.0
random_forest,Random forest regressor,Atomic Radius_metal,0.0,0.0,0.0
random_forest,Random forest regressor,Electron Affinity_metal  (kJ/mol),0.0,0.0,0.0
random_forest,Random forest regressor,Third IE_metal  (kJ/mol),0.0,0.0,0.0
random_forest,Random forest regressor,Second IE_metal  (kJ/mol),0.0,0.0,0.0
random_forest,Random forest regressor,Standard Entropy_metal (J/mol.K),0.0,0.0,0.0
random_forest,Random forest regressor,Pauling EN_metal,0.0,0.0,0.0
random_forest,Random forest regressor,Ionic Radius_metal,0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,PEOE_VSA2(m),0.569364787529338,0.569364787529338,0.5693647875293378
gradient_boosting,Gradient boosting regressor,PEOE_VSA14(m),0.14198911403635373,0.14198911403635373,0.1419891140363537
gradient_boosting,Gradient boosting regressor,TPSA(m),0.05879686991783491,0.05879686991783491,0.05879686991783489
gradient_boosting,Gradient boosting regressor,NumRotatableBonds(m),0.04699264985286228,0.04699264985286228,0.046992649852862264
gradient_boosting,Gradient boosting regressor,Temperature (K),0.03084263165428449,0.03084263165428449,0.030842631654284483
gradient_boosting,Gradient boosting regressor,Concentration (M),0.022860755548853456,0.022860755548853456,0.022860755548853452
