feature,pearson_corr,abs_corr
PEOE_VSA2(m),0.7737100897142121,0.7737100897142121
NumRotatableBonds(m),0.6558992893717465,0.6558992893717465
PEOE_VSA14(m),0.651879430580527,0.651879430580527
NumHAcceptors(m),0.6453708815967245,0.6453708815967245
NOCount(m),0.6436765192118878,0.6436765192118878
SlogP_VSA2(m),0.6353734880208648,0.6353734880208648
VSA_EState2(m),0.6229372353968545,0.6229372353968545
NumHeteroatoms(m),0.6175047714918929,0.6175047714918929
TPSA(m),0.6171946780972161,0.6171946780972161
Kappa2(m),0.6110285484181628,0.6110285484181628
SMR_VSA3(m),0.6101115190993742,0.6101115190993742
SMR_VSA1(m),0.6000773784917153,0.6000773784917153
NumValenceElectrons(m),0.5887695797190615,0.5887695797190615
Chi0(m),0.5862127023631235,0.5862127023631235
EState_VSA10(m),0.5801867757453134,0.5801867757453134
Chi1(m),0.577393640909506,0.577393640909506
VSA_EState5(m),-0.572780681726754,0.572780681726754
LabuteASA(m),0.5722811992521291,0.5722811992521291
FpDensityMorgan2(m),-0.5718653972077453,0.5718653972077453
ExactMolWt(m),0.5698712533744289,0.5698712533744289
Chi0n(m),0.5698670135932646,0.5698670135932646
HeavyAtomCount(m),0.5697959486259379,0.5697959486259379
MolWt(m),0.5696923083664156,0.5696923083664156
HeavyAtomMolWt(m),0.5643281150755014,0.5643281150755014
FpDensityMorgan3(m),-0.5630103528906856,0.5630103528906856
FpDensityMorgan1(m),-0.5622619094980882,0.5622619094980882
Chi1n(m),0.5559851216693257,0.5559851216693257
Chi0v(m),0.550005656525803,0.550005656525803
VSA_EState8(m),-0.5457818133875628,0.5457818133875628
NumHDonors(m),0.5434875889572414,0.5434875889572414
MolMR(m),0.5427231107868301,0.5427231107868301
PEOE_VSA8(m),0.5422070947076411,0.5422070947076411
EState_VSA1(m),0.5280971953856963,0.5280971953856963
SMR_VSA6(m),0.5236946350965287,0.5236946350965287
EState_VSA9(m),0.5231453542085057,0.5231453542085057
qed(m),-0.5195247296289248,0.5195247296289248
VSA_EState1(m),0.5103909960354834,0.5103909960354834
MinEStateIndex(m),-0.5089724887489137,0.5089724887489137
SMR_VSA2(m),0.5058164107703115,0.5058164107703115
NHOHCount(m),0.49144346049341736,0.49144346049341736
SMR_VSA10(m),0.4889912557313201,0.4889912557313201
Chi2n(m),0.4814636917526119,0.4814636917526119
SlogP_VSA3(m),0.4812526515400426,0.4812526515400426
Chi1v(m),0.4768272939064922,0.4768272939064922
BertzCT(m),0.46686843479956835,0.46686843479956835
BalabanJ(m),0.46669068718480167,0.46669068718480167
Kappa1(m),0.45173944200898936,0.45173944200898936
HallKierAlpha(m),-0.43551054357796076,0.43551054357796076
EState_VSA8(m),0.41190533089716186,0.41190533089716186
Chi2v(m),0.402828514981335,0.402828514981335
MaxAbsEStateIndex(m),0.39819137880401273,0.39819137880401273
MaxEStateIndex(m),0.39819137880401273,0.39819137880401273
PEOE_VSA1(m),0.38090156901149885,0.38090156901149885
PEOE_VSA9(m),0.373504680819254,0.373504680819254
Chi3n(m),0.3610506673815492,0.3610506673815492
Chi4n(m),0.35760618977614533,0.35760618977614533
SlogP_VSA5(m),0.33053075392712766,0.33053075392712766
VSA_EState3(m),0.31618619294406386,0.31618619294406386
MolLogP(m),-0.31076568133789206,0.31076568133789206
Chi4v(m),0.30659733891608826,0.30659733891608826
Chi3v(m),0.3041078118230578,0.3041078118230578
FractionCSP3(m),0.26951602470646147,0.26951602470646147
SlogP_VSA8(m),0.2275114736214222,0.2275114736214222
VSA_EState6(m),-0.18927032441501443,0.18927032441501443
PEOE_VSA11(m),-0.17273592102592844,0.17273592102592844
MinAbsEStateIndex(m),0.14300142527846668,0.14300142527846668
MaxPartialCharge(m),0.1133751255769022,0.1133751255769022
SMR_VSA7(m),-0.11018477397325908,0.11018477397325908
SlogP_VSA6(m),-0.10675097610932197,0.10675097610932197
MinPartialCharge(m),0.09463168227358125,0.09463168227358125
MaxAbsPartialCharge(m),-0.08933993929092784,0.08933993929092784
PEOE_VSA12(m),0.07564832777464846,0.07564832777464846
RingCount(m),-0.06546943234876772,0.06546943234876772
SMR_VSA5(m),0.0627639226532552,0.0627639226532552
PEOE_VSA7(m),-0.05514419005429396,0.05514419005429396
SlogP_VSA1(m),0.05082107247658569,0.05082107247658569
VSA_EState7(m),-0.022789094293188355,0.022789094293188355
VSA_EState4(m),0.01990771089740116,0.01990771089740116
Kappa3(m),0.01671176588942811,0.01671176588942811
MinAbsPartialCharge(m),0.014056009184457307,0.014056009184457307
PEOE_VSA10(m),-0.013038693632768059,0.013038693632768059
PEOE_VSA6(m),-0.004094527059825236,0.004094527059825236
